History Channel Functions Measurement Report

Measurements started at Date: 28-Oct-2023 Time: 19:01:37

Spectrometer ID : 2108340U2
Integration Time: 100,00 ms
Averages        : 10 scans

Description of the Function:

Integral: between  344,00 and  360,00 nm. Multiplied with:  1,0000. Scope Corrected for Dark Mode

Time         Seconds   Function Value
20:05:27   3832,607     209650,0237
20:05:33   3837,838     209491,5343
20:05:38   3843,024     209500,6106
20:05:43   3848,211     209471,5611
20:05:48   3853,397     209519,8726
20:05:53   3858,583     209515,9651
20:05:59   3863,816     209639,0019
20:06:04   3869,001     209535,7326
20:06:09   3874,232     209603,2735
20:06:14   3879,420     209360,1961
20:06:19   3884,649     209587,4594
20:06:25   3889,881     209564,6335
20:06:30   3895,115     209651,5832
20:06:35   3900,303     209669,3612
20:06:40   3905,535     209307,2976
20:06:46   3910,769     209569,0793
20:06:51   3916,001     209576,1142
20:06:56   3921,191     209659,7423
20:07:01   3926,427     209454,4698
20:07:06   3931,616     209424,7976
20:07:12   3936,851     209532,2083
20:07:17   3942,090     209411,5334
20:07:22   3947,323     209423,1953
20:07:27   3952,559     209611,3150
20:07:33   3957,751     209513,4693
20:07:38   3962,941     209487,8845
20:07:43   3968,179     209541,9681
20:07:48   3973,414     209470,9682
20:07:53   3978,606     209479,3318
20:07:59   3983,840     209567,5585
20:08:04   3989,033     209634,3829
20:08:09   3994,226     209334,3578
20:08:14   3999,465     209407,3951
20:08:19   4004,658     209596,0721
20:08:25   4009,895     209383,7490
20:08:30   4015,130     209560,3315
